MCCONNELL MITCH,KY,REP,11832783.00
CORNYN JOHN,TX,REP,9673385.00
LAND TERRI LYNN,MI,REP,8609528.00
COTTON THOMAS,AR,REP,6682006.06
GRAHAM LINDSEY OLIN,SC,REP,6520501.00
ALEXANDER LAMAR,TN,REP,6180688.00
CASSIDY WILLIAM,LA,REP,5910901.00
KINGSTON JOHN H SR REP,GA,REP,5421499.00
COCHRAN THAD,MS,REP,5400982.00
CAPITO SHELLEY MOORE,WV,REP,5359457.00
SCOTT TIMOTHY E,SC,REP,5258271.00
GARDNER CORY,CO,REP,4600135.00
PERDUE DAVID,GA,REP,4564377.00
DAINES STEVEN,MT,REP,4365297.08
TILLIS THOM R,NC,REP,4222794.00
COLLINS SUSAN M,ME,REP,4138952.00
GILLESPIE EDWARD W,VA,REP,4111131.00
BEVIN MATTHEW GRISWOLD,KY,REP,3755476.00
GOMEZ GABRIEL,MA,REP,3644142.00
SASSE BENJAMIN E,NE,REP,3596172.00
SULLIVAN DAN,AK,REP,3573180.00
MCFADDEN MICHAEL,MN,REP,3402766.00
ROUNDS MARION MICHAEL,SD,REP,3371559.00
BROWN SCOTT,NH,REP,3324720.00
ROBERTS PAT,KS,REP,3246745.00
ENZI MICHAEL B,WY,REP,2885134.00
INHOFE JAMES M,OK,REP,2729508.00
LONEGAN STEVEN M,NJ,REP,2657571.00
LANKFORD JAMES PAUL,OK,REP,2607149.00
MCDANIEL CHRISTOPHER BRIAN,MS,REP,2582759.00
ERNST JONI K,IA,REP,2488485.00
WEHBY MONICA,OR,REP,2049732.00
OSBORN SHANE,NE,REP,1971040.00
BOSWORTH ANNETTE DR,SD,REP,1935287.00
SHANNON T W,OK,REP,1932857.00
CHENEY ELIZABETH (LIZ),WY,REP,1791702.00
BROUN PAUL COLLINS,GA,REP,1686953.00
GINGREY J PHILLIP,GA,REP,1611206.00
RISCH JAMES E,ID,REP,1544362.00
MANESS ROBERT L COLONEL,LA,REP,1534829.00
BRANNON GREGORY JOSEPH,NC,REP,1507480.00
JACOBS MARK M,IA,REP,1185715.00
HANDEL KAREN CHRISTINE,GA,REP,1171575.00
CARR JOE S,TN,REP,1144887.00
ORTMAN JULIANNE,MN,REP,1067712.00
DINSDALE SID,NE,REP,1041321.00
WOLF MILTON,KS,REP,1016204.00
SESSIONS JEFF,AL,REP,971593.00
TREADWELL MEAD,AK,REP,954665.00
HARRIS MARK,NC,REP,902169.00
BUCK KENNETH R,CO,REP,809158.50
MACE NANCY,SC,REP,750236.00
YU EUGENE CHIN,GA,REP,684374.98
BARRASSO JOHN A,WY,REP,639763.00
CASH RICHARD J,SC,REP,628619.00
WEH ALLEN,NM,REP,609197.00
BOWERS DE TREVELLE FRANKLIN JR,SC,REP,586867.00
MCLEAY BARTHOLOMEW L,NE,REP,564596.00
SMITH ROBERT ,NH,REP,462818.00
STAPLETON COREY C,MT,REP,435971.02
OBERWEIS JAMES D JIM,IL,REP,433025.00
WHITAKER MATTHEW GEORGE MATT,IA,REP,422211.00
TRUAX DOUGLAS LEE,IL,REP,412893.00
SULLIVAN MICHAEL J,MA,REP,400093.00
HILL OWEN,CO,REP,385252.00
BRIGHT LEE,SC,REP,379111.00
CONGER JASON,OR,REP,372497.00
WINSLOW DAN,MA,REP,338431.00
MILLER JOSEPH W,AK,REP,327598.00
CLOVIS SAMUEL,IA,REP,319794.00
RAVENEL THOMAS JONATHAN JACKSON,SC,REP,234946.00
BROGDON RANDALL C,OK,REP,161953.00
CONNOR WILLIAM MELLARD V,SC,REP,146949.00
ABELER JAMES J,MN,REP,145926.00
